132,MELAKA,PPD JASIN,Kebangsaan,MBA1029,SK SERKAM DARAT,KG.SERKAM DARAT,MERLIMAU,77300,06-2636217,06-2636217
133,MELAKA,PPD JASIN,Kebangsaan,MBA1071,SK PARIT GANTONG,"KM 35, JALAN PARIT PERAWAS",SUNGAI RAMBAI,77400,6062658051,6062658051
134,MELAKA,PPD JASIN,Kebangsaan,MBA1075,SK (FELDA) BKT SENGGEH,FELDA BUKIT SENGGEH,ASAHAN,77100,065229668,065229668
135,MELAKA,PPD JASIN,Kebangsaan,MBA1076,SK SERI MACHAP,KG. BARU BUKIT SEDANAN,SELANDAR,77500,065252763,065252763
136,MELAKA,PPD JASIN,Kebangsaan,MBA1077,SK DATUK HJ BAGINDA,"KM 14, KAMPUNG UMBAI",MERLIMAU,77300,062610317,062610360
137,MELAKA,PPD JASIN,Kebangsaan,MBA1078,SK BUKIT TEMBAKAU,KM. 13 KG.BUKIT TEMBAKAU,MERLIMAU,77300,062618330,062618330
138,MELAKA,PPD JASIN,Kebangsaan,MBA1079,SEKOLAH KEBANGSAAN AYER MERBAU,Kg. Ayer Merbau,Jasin,77200,065210832,065210831
139,MELAKA,PPD JASIN,Kebangsaan,MBB1029,SK AIR BARUK,JALAN PAYA BATU,JASIN,77000,065291267,065293448
140,MELAKA,PPD JASIN,Kebangsaan,MBB1030,SK SRI LANANG,JALAN KELUBI,JASIN,77000,065291459,065291459
141,MELAKA,PPD JASIN,Kebangsaan,MBB1031,SK MERLIMAU 1,JALAN BATU GAJAH,MERLIMAU,77300,062631460,062636406
142,MELAKA,PPD JASIN,Kebangsaan,MBB1074,SK MERLIMAU DUA,"KM 26,JALAN  JASIN",MERLIMAU,77300,062631404,062631420
143,MELAKA,PPD JASIN,Kebangsaan,MCT1001,"SEKOLAH RENDAH ARAB JAIM SELANDAR","SELANDAR, MELAKA",JASIN,77500,065253288,065253288
144,MELAKA,PPD JASIN,Kebangsaan,MCT1002,"SEKOLAH RENDAH ARAB MERLIMAU PASIR","KM 26, JALAN BATU GAJAH",MERLIMAU,77300,062634891,062634891
145,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2053,SJK(C) PAY FONG 1,"Lot 9245 Jalan KJ2,Taman Krubong Jaya",MELAKA,75260,063360310,063360312
146,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2054,SJK(C) PAY FONG 2,"225,JLN PARAMESWARA",MELAKA,75000,062831480,062831480
147,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2055,SJK(C) PAY FONG 3,"60,JALAN PUTERI HANG LI POH",MELAKA,75100,06-2840171,06-2840171
148,MELAKA,"PPD MELAKA TENGAH",Jenis Kebangsaan (C),MBC2056,SJK(C) PAY TECK,"45,KG TIGA",MELAKA,75200,062823020,062823020
