BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
111,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2046,SMK RAJA PEREMPUAN,JALAN BATU BUNGKAL,IPOH,30250,052494830,052420697
112,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2047,SMK PEREMPUAN METHODIST,"NO. 2, JALAN RAJA PERMAISURI BAINUN",IPOH,30250,052549580,052419641
113,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2048,SMK CONVENT,JLN SULTAN IDRIS SHAH,IPOH,30000,052494200,052494204
114,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2049,SMK TARCISIAN CONVENT,"JALAN ABDUL MANAP, TAMAN LIM",IPOH,30100,055277134,055270215
115,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2051,SMK PEREMPUAN PERAK,NO.247 JLN  RAJA PERMAISURI BAINUN,IPOH,30250,052548116,052548116
116,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2052,SMK AVE MARIA CONVENT,JLN CHUNG THYE PHIN,IPOH,30250,052545587,052555587
117,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2053,SMK SAM TET,NO.5 JALAN GEREJA,IPOH,30300,052545457,052430700
118,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2054,SMK POI LAM,"NO.13, JLN. PANGLIMA BUKIT GANTANG WAHAB",IPOH,30000,052544469,052418622
119,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2055,SMK YUK CHOY,NO 6 JLN KUALA KANGSAR,IPOH,30010,055061726,055064942
120,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2056,SMK SERI INTAN,FAIR PARK,IPOH,31400,055450844,055450844
121,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2057,SMK SRI PUTERI,JALAN SUNGAI PARI,IPOH,30200,052540648,052426736
122,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2058,SMK SUNGAI PARI,JALAN SUNGAI PARI,IPOH,30200,052542591,052430744
123,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2059,SMK SERI PUTERA,"KEPAYANG, FAIR PARK",IPOH,31400,055450902,055499509
124,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2060,SMK DR MEGAT KHAS,JALAN LABROOY,IPOH,30100,055276485,055280427
125,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2061,SMK SERI IPOH,LEBUH JANSZ,IPOH,30200,052549207,052549207
126,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEB2062,SMK MENGLEMBU,MENGLEMBU,MENGLEMBU,31450,052812559,052822513
127,PERAK,PPD KINTA UTARA,SM Kebangsaan,AEE2071,SMK AMINUDDIN BAKI,JALAN SEKOLAH,CHEMOR,31200,052011395,052015142
128,PERAK,PPD KINTA UTARA,SM Vokasional,AHA2002,SM VOKASIONAL IPOH,PERSIARAN BRASH,IPOH,31400,055477405,055471264
129,PERAK,PPD KRIAN,Kolej,AHA3002,KOLEJ VOKASIONAL KERIAN,JALAN SIAKAP,BAGAN SERAI,34300,057217084,057216077
130,PERAK,PPD KRIAN,SM agama,AFT3001,SM AGAMA AL-HIDAYAH,PARIT ABAS,KUALA KURAU,34350,057270295,057270297
131,PERAK,PPD KRIAN,SM agama,AFT3003,SMA SHAMSUL MAARIF AL WATANIAH,TANJUNG PIANDANG,"TANJUNG PIANDANG",34250,057250234,057255193
132,PERAK,PPD KRIAN,SM agama,AFT3004,SM AGAMA AL FALAH,PARIT TOK NGAH,"TANJONG PIANDANG",34250,057256081,057250872
133,PERAK,PPD KRIAN,SM agama,AFT3005,MAAHAD AL EHYA ASSHARIFF,GUNUNG SEMANGGGOL,SEMANGGOL,34400,058901017,058905524
134,PERAK,PPD KRIAN,SM agama,AFT3006,MA'AHAD AR-RIDHWAN,TELOK MEDAN,BAGAN SERAI,34300,057213321,057214717
135,PERAK,PPD KRIAN,SM Kebangsaan,AEA3038,SMK PANGLIMA BUKIT GANTANG,JALAN SEKOLAH,PARIT BUNTAR,34200,057161161,057175322
136,PERAK,PPD KRIAN,SM Kebangsaan,AEA3039,SMK SRI PERAK,JALAN ASUHAN,PARIT BUNTAR,34200,057161136,057176989
137,PERAK,PPD KRIAN,SM Kebangsaan,AEA3040,SMK ALANG ISKANDAR,JALAN KURAU,BAGAN SERAI,34300,057210346,057216970
138,PERAK,PPD KRIAN,SM Kebangsaan,AEA3041,SMK ALOR PONGSU,ALOR PONGSU,BAGAN SERAI,34300,057216957,057217539
139,PERAK,PPD KRIAN,SM Kebangsaan,AEA3086,SMK RAJA LOPE NOR RASHID,JALAN BAWAH,"TANJONG PIANDANG",34250,057256269,057250268
140,PERAK,PPD KRIAN,SM Kebangsaan,AEA3087,SMK KUALA KURAU,JALAN PANTAI KUALA KURAU,KUALA KURAU,34350,057277651,057279636
141,PERAK,PPD KRIAN,SM Kebangsaan,AEA3088,SMK ABU BAKAR AL-BAQIR,SUNGAI GEDONG,BAGAN SERAI,34300,057217518,057218458
142,PERAK,PPD KRIAN,SM Kebangsaan,AEA3089,SMK GUNUNG SEMANGGOL,TEBUK PANCHUR,"SIMPANG EMPAT SEMANGGOL",34400,058921110,058921111
143,PERAK,PPD KRIAN,SM Kebangsaan,AEA3090,SMK PEKAN BARU,"JALAN MERBOK, TAMAN PEKAN BARU",PARIT BUNTAR,34200,057164277,057165260
144,PERAK,PPD KRIAN,SM Kebangsaan,AEA3091,SMK SELINSING,SIMPANG EMPAT,SEMANGGOL,34400,058901971,058901769
145,PERAK,PPD KRIAN,SM Kebangsaan,AEB3041,SMK METHODIST,JALAN SEKOLAH,PARIT BUNTAR,34200,057161062,057160591
146,PERAK,PPD KRIAN,SM Kebangsaan,AEB3042,SMK KRIAN,JALAN SEKOLAH,PARIT BUNTAR,34200,057161158,057162680
147,PERAK,PPD KRIAN,SM Kebangsaan,AEB3043,SMK SRI KURAU,JALAN SIAKAP,BAGAN SERAI,34300,057217958,057219018
148,PERAK,PPD KRIAN,SM Kebangsaan,AEB3044,SMK BAGAN SERAI,JALAN MATANG BULUH,BAGAN SERAI,34300,057219588,057216939
149,PERAK,PPD KRIAN,SM Kebangsaan,AEE3045,SMK MUDZAFFAR SHAH,SIMPANG EMPAT SEMANGGOL,SIMPANG EMPAT,34400,058921200,058901025
150,PERAK,PPD KRIAN,SMK Agama,ARA3001,SMKA KERIAN,JALAN  KAMPUNG SELAMAT,SIMPANG EMPAT,34400,058904997,058905490
151,PERAK,PPD KUALA KANGSAR,Kolej,AHA4002,KOLEJ VOKASIONAL KUALA KANGSAR,JALAN TAIPING-KUALA KANGSAR,"PADANG RENGAS",33700,057584424,057583313
