BIL,NEGERI,PPD,JENIS SEKOLAH,KOD SEKOLAH,NAMA SEKOLAH,ALAMAT,DAERAH,POSKOD,NO TELEFON,NO FAKS
160,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2005,SK BINJAI,JALAN AIR PUTEH,KEMAMAN,24000,098503762,098503760
161,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2006,SK PASIR GAJAH,KAMPUNG PASIR GAJAH,CHUKAI,24030,098591264,098591264
162,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2007,SK SEBERANG TAYOR,"JALAN AIR PUTIH,",KEMAMAN,24000,098586160,098586160
163,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2008,SK RKT SEBERANG TAYOR,JALAN AIR PUTIH,"CUKAI, KEMAMAN",24020,098592248,098592248
164,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2009,SK AYER PUTEH,"KAMPUNG  AYER  PUTEH,",CHUKAI KEMAMAN,24050,098598396,098594300
165,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2010,SK IBOK,"SK IBOK, KEMAMAN",KEMAMAN,24040,098526273,098526273
166,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2011,SK BUKIT KUANG,KG.BUKITKUANG,CUKAI,24000,0098502662,0098502660
167,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2012,SK TELOK KALONG,KG TELOK KALONG,KEMAMAN,24000,098631360,098631360
168,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2013,SK KIJAL,"JALAN PANTAI, KG IBAI,",KIJAL,24100,098589952,098589952
169,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2014,SK MERAGA BERIS,MERAGA BERIS,KIJAL,24100,098634289,098635257
170,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2015,SK KEMASEK,JALAN AYER JERNIH,KEMAMAN,24200,098640643,098640632
171,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2016,SK AYER JERNEH,"KG. AYER JERNEH, KEMASEK",KEMAMAN,24210,098881264,098881264
172,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2017,SK KERTEH,JALAN ILMU,KERTEH,24300,098260050,098260051
173,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2018,SK PENGKALAN RANGGON,SK. PENGKALAN RANGGON.,KERTEH,24300,0098260540,0098260541
174,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2019,SK KG CHABANG,"KAMPUNG CHABANG, KERTEH",KERTEH,24300,0098262700,0098266846
175,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2021,SK PADANG KUBU,JALAN JERANGAU - JABOR,KEMAMAN,24010,098226402,098226145
176,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2023,SK CHENEH BARU,BANDAR CHENEH BARU,"CHUKAI, KEMAMAN",24000,098730270,098730270
177,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2035,SK FELDA NERAM SATU,FELDA NERAM SATU,KEMAMAN,24060,095519760,095519152
178,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2037,SK SERI BANDI,"KEMASEK, KEMAMAN, TERENGGANU DARUL IMAN",KEMAMAN,24220,098676280,098676280
179,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2038,SK KAMPONG BAHARU FELDA NERAM I,JALAN JERANGAU JABOR,KEMAMAN,24060,095519624,095519625
180,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2039,SK LEMBAH JABOR,"SK LEMBAH JABOR, KEMAMAN",KUANTAN,26150,095515144,TIADA
181,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2040,SK (FELDA) CHERUL,W/P BANDAR CENEH BARU,KEMAMAN,24000,098730969,098733510
182,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2041,SK SERI KEMAMAN,"HADAPAN TADIKA YAYASAN LOT 144, KG. GONG LIMAU",KEMAMAN,24000,098591251,098584794
183,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2042,SK PAYOH,"KG PAYOH,KEMASEK",CHUKAI,24210,098881342,098881341
184,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2043,SK CHENEH BARU 2,BANDAR CHENEH BARU,KEMAMAN,24000,0098730326,0098733108
185,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2044,SK SERI IMAN,"JALAN KG. GONG LIMAU, CHUKAI",KEMAMAN,24000,098502725,098502724
186,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2045,SK KAMPONG TENGAH,"KAMPUNG TENGAH,",KEMAMAN,24000,0098685404,0098684609
187,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2046,SK SUNGAI PERGAM,"KG SUNGAI PERGAM,  D/A WAKIL POS CHENEH BARU",KEMAMAN,24060,095510681,095510682
188,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2047,SK RANTAU PETRONAS,RANTAU PETRONAS,KERTEH,24300,098662670,098662672
189,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2048,SK KETENGAH JAYA,BANDAR KETENGAH JAYA,KETENGAH JAYA,23300,0098200257,0098200268
190,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2049,SK KG. BARU RASAU KERTEH 5,JALAN PERUMAHAN TAMAN MUHIBBAH,KETENGAH JAYA,23300,098204151,098204255
191,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2050,SK BUKIT MENTOK II,"KG. JAYA,JALAN AIR PUTEH",KEMAMAN,24000,0098583351,0098583354
192,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2051,SK MAK LAGAM,"JALAN PERKAMPUNGAN MAK LAGAM,",KEMAMAN,24000,098599030,098599031
193,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2052,SK KG BARU KERTEH,SK KAMPUNG BARU KERTEH,KERTEH,24300,098266088,098263699
194,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2053,SK BUKIT ANAK DARA,JALAN IBOK,CHUKAI,24100,098599272,098599271
195,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2054,SK SERI BANDI 2,"KEMASEK, KEMAMAN, TERENGGANU DARUL IMAN",KEMAMAN,24220,09-8675111,09-8675110
196,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2055,SK SERI GELUGOR,KERTEH,KEMAMAN,24300,098260171,098260171
197,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBA2056,SEKOLAH KEBANGSAAN SERI JAYA,KEMAMAN,KEMAMAN,24000,098583549,098583546
198,TERENGGANU,PPD KEMAMAN,Kebangsaan,TBB2024,SK SULTAN ISMAIL,DI HADAPAN LOT 144,KEMAMAN,24000,6098591349,6098502590
199,TERENGGANU,"PPD KUALA TERENGGANU",Jenis Kebangsaan (C),TBC3094,SJK(C) CHUNG HWA WEI SIN,JALAN SULTAN MOHAMAD,"KUALA TERENGGANU",21100,096203210,096203216
200,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3001,SK TENGKU AMPUAN MARIAM,JLN TENGKU AMPUAN MARIAM,"KUALA TERENGGANU",20200,096221114,096230800
201,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3002,SK DARAT BATU RAKIT,"KG DARAT BATU RAKIT,","KUALA TERENGGANU",21020,096694177,096694177
202,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3003,SK PAYA BUNGA,JALAN TOK LAM,"KUALA TERENGGANU",20100,096231733,096248916
203,TERENGGANU,"PPD KUALA TERENGGANU",Kebangsaan,TBA3004,SK PUSAT BUKIT BESAR,JALAN PASIR PANJANG,"KUALA TERENGGANU",21100,096221127,096221127
